Angle, CurrentLapTime, Damage, DistanceFromStart, DistanceCovered, FuelLevel, Gear, LastLapTime, Opponent_1,Opponent_2,Opponent_3,Opponent_4,Opponent_5,Opponent_6,Opponent_7,Opponent_8,Opponent_9,Opponent_10,Opponent_11,Opponent_12,Opponent_13,Opponent_14,Opponent_15,Opponent_16,Opponent_17,Opponent_18,Opponent_19,Opponent_20,Opponent_21,Opponent_22,Opponent_23,Opponent_24,Opponent_25,Opponent_26,Opponent_27,Opponent_28,Opponent_29,Opponent_30,Opponent_31,Opponent_32,Opponent_33,Opponent_34,Opponent_35,Opponent_36,RacePosition, RPM, SpeedX, SpeedY, SpeedZ, Track_1,Track_2,Track_3,Track_4,Track_5,Track_6,Track_7,Track_8,Track_9,Track_10,Track_11,Track_12,Track_13,Track_14,Track_15,Track_16,Track_17,Track_18,Track_19,TrackPosition, WheelSpinVelocity_1,WheelSpinVelocity_2,WheelSpinVelocity_3,WheelSpinVelocity_4,Z, Acceleration,Braking,Clutch,Gear,Steering
0.00298518,-0.982,1.0,2952.6,0.0,94.0,0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1323,200.0,200.0,31.2396,19.9944,1,942.478,-0.00166645,0.106768,-0.0320909,9.97184,10.3319,13.05,17.4598,29.3968,38.9623,58.4145,118.456,200.0,200.0,200.0,200.0,113.418,76.5308,58.0824,34.77,26.0798,20.7182,20.0283,0.335214,0.0,0.0,0.0,0.0,0.345105,1.0,0.0,0.6399999856948853,1,-0.04104641452431679
0.00298518,-0.962,1.0,2952.6,0.0,94.0,0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1323,200.0,200.0,31.2396,19.9944,1,1100.33,-0.00166645,0.106768,-0.0320909,9.97184,10.3319,13.05,17.4598,29.3968,38.9623,58.4145,118.456,200.0,200.0,200.0,200.0,113.418,76.5308,58.0824,34.77,26.0798,20.7182,20.0283,0.335214,0.0,0.0,0.0,0.0,0.345105,1.0,0.0,0.6399999856948853,1,-0.04104641452431679
0.00298518,-0.942,1.0,2952.6,0.0,93.9999,0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1323,200.0,200.0,31.2396,19.9944,1,1263.95,-0.00166645,0.106768,-0.0320909,9.97184,10.3319,13.05,17.4598,29.3968,38.9623,58.4145,118.456,200.0,200.0,200.0,200.0,113.418,76.5308,58.0824,34.77,26.0798,20.7182,20.0283,0.335214,0.0,0.0,0.0,0.0,0.345105,1.0,0.0,0.6399999856948853,1,-0.04104641452431679
0.00298518,-0.922,1.0,2952.6,0.0,93.9998,0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1323,200.0,200.0,31.2396,19.9944,1,1432.32,-0.00166645,0.106768,-0.0320909,9.97184,10.3319,13.05,17.4598,29.3968,38.9623,58.4145,118.456,200.0,200.0,200.0,200.0,113.418,76.5308,58.0824,34.77,26.0798,20.7182,20.0283,0.335214,0.0,0.0,0.0,0.0,0.345105,1.0,0.0,0.6399999856948853,1,-0.04104641452431679
0.00298518,-0.902,1.0,2952.6,0.0,93.9997,0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1323,200.0,200.0,31.2396,19.9944,1,1605.57,-0.00166645,0.106768,-0.0320909,9.97184,10.3319,13.05,17.4598,29.3968,38.9623,58.4145,118.456,200.0,200.0,200.0,200.0,113.418,76.5308,58.0824,34.77,26.0798,20.7182,20.0283,0.335214,0.0,0.0,0.0,0.0,0.345105,1.0,0.0,0.6399999856948853,1,-0.04104641452431679
0.00298518,-0.882,1.0,2952.6,0.0,93.9997,0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1323,200.0,200.0,31.2396,19.9944,1,1783.85,-0.00166645,0.106768,-0.0320909,9.97184,10.3319,13.05,17.4598,29.3968,38.9623,58.4145,118.456,200.0,200.0,200.0,200.0,113.418,76.5308,58.0824,34.77,26.0798,20.7182,20.0283,0.335214,0.0,0.0,0.0,0.0,0.345105,1.0,0.0,0.6399999856948853,1,-0.04104641452431679
0.00298518,-0.862,1.0,2952.6,0.0,93.9996,0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1323,200.0,200.0,31.2396,19.9944,1,1967.31,-0.00166645,0.106768,-0.0320909,9.97184,10.3319,13.05,17.4598,29.3968,38.9623,58.4145,118.456,200.0,200.0,200.0,200.0,113.418,76.5308,58.0824,34.77,26.0798,20.7182,20.0283,0.335214,0.0,0.0,0.0,0.0,0.345105,1.0,0.0,0.6399999856948853,1,-0.04104641452431679
0.00298518,-0.842,1.0,2952.6,0.0,93.9995,0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1323,200.0,200.0,31.2396,19.9944,1,2156.5,-0.00166645,0.106768,-0.0320909,9.97184,10.3319,13.05,17.4598,29.3968,38.9623,58.4145,118.456,200.0,200.0,200.0,200.0,113.418,76.5308,58.0824,34.77,26.0798,20.7182,20.0283,0.335214,0.0,0.0,0.0,0.0,0.345105,1.0,0.0,0.6399999856948853,1,-0.04104641452431679
0.00298518,-0.822,1.0,2952.6,0.0,93.9994,0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1323,200.0,200.0,31.2396,19.9944,1,2359.56,-0.00166645,0.106768,-0.0320909,9.97184,10.3319,13.05,17.4598,29.3968,38.9623,58.4145,118.456,200.0,200.0,200.0,200.0,113.418,76.5308,58.0824,34.77,26.0798,20.7182,20.0283,0.335214,0.0,0.0,0.0,0.0,0.345105,1.0,0.0,0.6399999856948853,1,-0.04104641452431679
0.00298518,-0.802,1.0,2952.6,0.0,93.9993,0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1323,200.0,200.0,31.2396,19.9944,1,2580.78,-0.00166645,0.106768,-0.0320909,9.97184,10.3319,13.05,17.4598,29.3968,38.9623,58.4145,118.456,200.0,200.0,200.0,200.0,113.418,76.5308,58.0824,34.77,26.0798,20.7182,20.0283,0.335214,0.0,0.0,0.0,0.0,0.345105,1.0,0.0,0.6399999856948853,1,-0.04104641452431679
